Locality,,,,,,,,,,,No. of Sales,,Change (%),
,Jan-Mar,,Apr-Jun,,Jul-Sep,,Oct-Dec,,Jan-Mar,,Jan-Mar,,Jan-Mar 2024 To Jan-March 2025,Oct-Dec 2024 To Jan-Mar 2025
,2024,,2024,,2024,,2024,,2025,,2025,2025,,
ABBOTSFORD,1202500, ,1275000, ,1147500, ,1240000, ,1310000,^,9,9,8.9,5.6
ABERFELDIE,2050000, ,1725000,^,2487500,^,1900000, ,2045000, ,11,11,-0.2,7.6
AINTREE,740000, ,782500, ,738600, ,690000, ,720000, ,39,39,-2.7,4.3
AIREYS INLET,1605000,^,1330000,^,1450000,^,1649000,^,1312500,^,4,4,-18.2,-20.4
AIRPORT WEST,1000000, ,983800, ,900800, ,915000, ,1000000, ,29,29,0.0,9.3
ALBANVALE,625000, ,605500, ,620000, ,612000, ,625000, ,23,23,0.0,2.1
ALBERT PARK,2245000, ,1900500, ,2450000, ,2265000, ,2046000, ,16,16,-8.9,-9.7
ALBION,715000,^,737500, ,780000, ,705000,^,738800, ,14,14,3.3,4.8
ALEXANDRA,560000, ,532500,^,525000,^,489000, ,680000,^,5,5,21.4,39.1
ALFREDTON,621000, ,630000, ,590000, ,590000, ,610000, ,83,83,-1.8,3.4
ALLANSFORD,365000,^,550000,^,497000,^,555000,^,837500,^,4,4,129.5,50.9
ALPHINGTON,2400000, ,1968300, ,2185000,^,2090000, ,1965000, ,14,14,-18.1,-6.0
ALTONA,1040000, ,1181000, ,1180000, ,1150000, ,1200000, ,25,25,15.4,4.3
ALTONA EAST,1000000,^,1095000, ,1100000,^,1035000, ,950000,^,3,3,-5.0,-8.2
ALTONA MEADOWS,700000, ,708500, ,690000, ,760000, ,738500, ,20,20,5.5,-2.8
ALTONA NORTH,940000, ,880000, ,950000, ,880000, ,1039500, ,44,44,10.6,18.1
ANGLESEA,1825000, ,1422500, ,1650000, ,1435000, ,1375000, ,18,18,-24.7,-4.2
APOLLO BAY,850000,^,1042500, ,905000,^,890000,^,775000,^,6,6,-8.8,-12.9
ARARAT,345000, ,375000, ,390000, ,395000, ,377000, ,35,35,9.3,-4.6
ARDEER,700000,^,675100, ,700000, ,670000, ,695000, ,12,12,-0.7,3.7
ARMADALE,2700000, ,2125000, ,2317500, ,2450000, ,2588000, ,20,20,-4.1,5.6
ARMSTRONG CREEK,675000, ,655000, ,665000, ,650000, ,648000, ,129,129,-4.0,-0.3
ASCOT (GREATER BENDIGO),562800,^,566500, ,610000,^,660000, ,622500, ,14,14,10.6,-5.7
ASCOT VALE,1382000, ,1265000, ,1220000, ,1327500, ,1357500, ,45,45,-1.8,2.3
ASHBURTON,1880000, ,2126000, ,1845000, ,1820000, ,1851000, ,30,30,-1.5,1.7
ASHWOOD,1670000,^,1555000, ,1470000, ,1380000, ,1510000, ,17,17,-9.6,9.4
ASPENDALE,1385000, ,1325000, ,1327500, ,1210000, ,1339300, ,14,14,-3.3,10.7
ASPENDALE GARDENS,1150000,^,1227000, ,1180500, ,1247500, ,1225000, ,14,14,6.5,-1.8
ATTWOOD,930000,^,1057800, ,815000,^,785000,^,700000,^,7,7,-24.7,-10.8
AVENEL,467500,^,617500,^,512000,^,486000,^,569000,^,2,2,21.7,17.1
AVOCA,335000,^,415000,^,375000,^,405000,^,380000,^,9,9,13.4,-6.2
AVONDALE HEIGHTS,980000, ,986500, ,1000000, ,965000, ,932500, ,34,34,-4.8,-3.4
BACCHUS MARSH,617500, ,633200, ,600000, ,575000, ,620000, ,40,40,0.4,7.8
BADGER CREEK,690000,^,740000,^,620000,^,617500,^,697500,^,6,6,1.1,13.0
BAIRNSDALE,387500, ,460000, ,430000, ,470000, ,450000, ,35,35,16.1,-4.3
BALACLAVA,1596300,^,1435000, ,1307500,^,1302500, ,1450000,^,5,5,-9.2,11.3
BALCOMBE,2100000, ,1482500, ,1675000, ,1590000, ,1580000, ,34,34,-24.8,-0.6
BALLAN,670000, ,650000, ,597500, ,580000, ,622500, ,12,12,-7.1,7.3
BALLARAT CENTRAL,650000, ,530000, ,537500, ,590000, ,635000, ,34,34,-2.3,7.6
BALLARAT EAST,485000, ,480000, ,462500, ,456000, ,500000, ,29,29,3.1,9.6
BALLARAT NORTH,555000, ,496300, ,525000, ,566000, ,515000, ,28,28,-7.2,-9.0
BALNARRING,1310000, ,1320000,^,1160000,^,1332500,^,1320000,^,6,6,0.8,-0.9
BALNARRING BEACH,1650000,^,1331000,^,1570000,^,1875000,^,1187500,^,4,4,-28.0,-36.7
BALWYN,3122400, ,2980000, ,2730000, ,2860000, ,3100000, ,31,31,-0.7,8.4
BALWYN NORTH,2430000, ,2383900, ,2160000, ,2360000, ,2325000, ,56,56,-4.3,-1.5
BANDIANA,732000,^,600000,^,595000,^,620000,^,629000,^,3,3,-14.1,1.5
BANNOCKBURN,710000, ,718500, ,745500, ,705000, ,699000, ,17,17,-1.5,-0.9
BARANDUDA,637500, ,649000,^,617500, ,680000, ,615000, ,10,10,-3.5,-9.6
BARWON HEADS,1840000, ,1287500, ,1603500, ,1505000, ,1465000, ,16,16,-20.4,-2.7
BAXTER,755000,^,706000,^,705000,^,726300, ,752500, ,12,12,-0.3,3.6
BAYSWATER,800000, ,836500, ,880800, ,886000, ,845500, ,26,26,5.7,-4.6
BAYSWATER NORTH,840000, ,890000, ,907000, ,900000, ,910000, ,21,21,8.3,1.1
BEACONSFIELD,882000, ,950000, ,1020000, ,1060000, ,815000, ,25,25,-7.6,-23.1
BEAUFORT,400000, ,372500,^,355000, ,350000,^,395000,^,9,9,-1.3,12.9
BEAUMARIS,2000000, ,1990000, ,2100000, ,2130000, ,1943000, ,35,35,-2.9,-8.8
BEEAC,687500,^,687500,*,380000,^,380000,*,460000,^,2,2,-33.1,NA
BEECHWORTH,720000,^,780000,^,877500, ,634800,^,790000, ,19,19,9.7,24.5
BELGRAVE,790000, ,861000, ,760000, ,800000, ,860000, ,11,11,8.9,7.5
BELGRAVE HEIGHTS,777500,^,1155000,^,1100000,^,921000,^,1053100,^,4,4,35.4,14.3
BELL PARK,632500, ,620000, ,610000, ,628500, ,645000, ,25,25,2.0,2.6
BELL POST HILL,685000, ,670000, ,652500, ,685000, ,650000, ,25,25,-5.1,-5.1
BELLFIELD (BANYULE),897500,^,955000,^,1077500,^,896000,^,1090000,^,7,7,21.4,21.7
BELMONT,695000, ,682500, ,720000, ,715000, ,670000, ,62,62,-3.6,-6.3
BENALLA,450000, ,453800, ,425500, ,445000, ,465000, ,55,55,3.3,4.5
BENDIGO,530000, ,600000, ,730000, ,620000, ,597500, ,34,34,12.7,-3.6
BENTLEIGH,1727500, ,1610000, ,1690800, ,1621000, ,1687500, ,36,36,-2.3,4.1
BENTLEIGH EAST,1545900, ,1512000, ,1490000, ,1462500, ,1440500, ,72,72,-6.8,-1.5
BERWICK,865000, ,842000, ,860000, ,900000, ,900000, ,181,181,4.0,0.0
BEVERIDGE,683500, ,680000, ,645000, ,652500, ,615000, ,60,60,-10.0,-5.7
BIRCHIP,160000,^,180000,^,150000,^,390000,^,282500,^,2,2,76.6,-27.6
BIRREGURRA,627500,^,700000,^,645000,^,860000,^,605000,^,5,5,-3.6,-29.7
BITTERN,880000,^,830000, ,819500,^,770000, ,880000, ,13,13,0.0,14.3
BLACK HILL,510000,^,660000,^,617500,^,650000, ,527500, ,12,12,3.4,-18.8
BLACK ROCK,3000000, ,2310000, ,2250000, ,2670000, ,2590000, ,11,11,-13.7,-3.0
BLACKBURN,1805000, ,1450000, ,1502000, ,1562500, ,1638000, ,28,28,-9.3,4.8
BLACKBURN NORTH,1272500, ,1332000, ,1211500, ,1283000, ,1399000, ,21,21,9.9,9.0
BLACKBURN SOUTH,1375000, ,1326000, ,1402000, ,1300000, ,1422300, ,18,18,3.4,9.4
BLAIRGOWRIE,1625000, ,1340000, ,1195000, ,1467500, ,1300000, ,33,33,-20.0,-11.4
BLIND BIGHT,850000,^,700000,^,715000,^,660000, ,830000,^,5,5,-2.4,25.8
BONBEACH,970000, ,1037500, ,1085000,^,1022000, ,1035000, ,15,15,6.7,1.3
BONNIE BROOK,670000, ,703800, ,651500, ,641000, ,647900, ,27,27,-3.3,1.1
BONNIE DOON,740000,^,785000,^,675000,^,487500,^,718800,^,2,2,-2.9,47.4
BONSHAW,545000, ,500000, ,527500,^,512000,^,545000, ,11,11,0.0,6.4
BOORT,291300,^,370000,^,259500,^,259500,*,270000,^,3,3,-7.3,NA
BORONIA,860000, ,850000, ,840000, ,825500, ,856000, ,62,62,-0.5,3.7
BOTANIC RIDGE,817500, ,935000, ,845000, ,930000, ,910000, ,49,49,11.3,-2.2
BOX HILL,1740000, ,1680000,^,1810000,^,1550000, ,1725000,^,7,7,-0.9,11.3
BOX HILL NORTH,1400000, ,1340000, ,1339500, ,1303000, ,1342000, ,23,23,-4.1,3.0
BOX HILL SOUTH,1485000, ,1480000, ,1757500, ,1550000, ,1350000, ,19,19,-9.1,-12.9
BRAYBROOK,728000, ,670000, ,725000, ,775000, ,770000, ,19,19,5.8,-0.6
BREAKWATER,590000,^,445000,^,515000,^,515000,^,500000,^,5,5,-15.3,-2.9
BRIAR HILL,997000,^,1085000,^,950000,^,889000, ,1190500, ,13,13,19.4,33.9
BRIGHT,1112500, ,901000,^,1037500,^,1285000, ,850000,^,9,9,-23.6,-33.9
BRIGHTON,3957500, ,3790000, ,3750000, ,3055000, ,3341800, ,58,58,-15.6,9.4
BRIGHTON EAST,2500000, ,2350000, ,2036000, ,2192500, ,2337500, ,42,42,-6.5,6.6
BROADFORD,511000, ,525000, ,545000, ,512500, ,559300, ,16,16,9.4,9.1
BROADMEADOWS,541000, ,600000, ,575000, ,592000, ,615000, ,26,26,13.7,3.9
BROOKFIELD,576000, ,555000, ,530000, ,540000, ,565000, ,59,59,-1.9,4.6
BROOKLYN,757500,^,870000,^,710000,^,932500,^,857500,^,6,6,13.2,-8.0
BROWN HILL,652500, ,525000, ,570000, ,705000, ,610000, ,26,26,-6.5,-13.5
BRUNSWICK,1400000, ,1300000, ,1229500, ,1300000, ,1305000, ,55,55,-6.8,0.4
BRUNSWICK EAST,1350000, ,1376500, ,1300000, ,1466000, ,1650000, ,23,23,22.2,12.6
BRUNSWICK WEST,1300000, ,1337500, ,1400000, ,1352500, ,1282500, ,27,27,-1.3,-5.2
BULLEEN,1305000, ,1302500, ,1354500, ,1293000, ,1350000, ,27,27,3.4,4.4
BUNDALONG,830000,^,720000,^,750000,^,750000,*,750000,*,0,0,NA,NA
BUNDOORA,858000, ,900000, ,923500, ,850000, ,882000, ,69,69,2.8,3.8
BUNINYONG,675000, ,740000, ,632500,^,813000, ,725000, ,17,17,7.4,-10.8
BUNYIP,705000, ,705000, ,700000, ,700800, ,758000,^,4,4,7.5,8.2
BURNLEY,1110000,^,1488000,^,1488000,*,1318000,^,1105000,^,4,4,-0.5,-16.2
BURNSIDE,730500, ,690000, ,788000, ,747500, ,860000, ,13,13,17.7,15.1
BURNSIDE HEIGHTS,730000, ,749000, ,849000, ,720000, ,730000, ,16,16,0.0,1.4
BURWOOD,1400000, ,1320000, ,1402500, ,1378000, ,1594400, ,24,24,13.9,15.7
BURWOOD EAST,1276500, ,1311000, ,1280000, ,1300000, ,1318000, ,30,30,3.3,1.4
CAIRNLEA,1090000, ,1027500, ,860000, ,870000, ,897000, ,18,18,-17.7,3.1
CALIFORNIA GULLY,503000, ,461000, ,425000, ,453800, ,450000, ,17,17,-10.5,-0.8
CAMBERWELL,2840000, ,2580000, ,2451000, ,2500000, ,2688900, ,59,59,-5.3,7.6
CAMPBELLFIELD,653500,^,594000,^,610000,^,598000,^,643000, ,15,15,-1.6,7.5
CAMPBELLS CREEK,640000,^,641000, ,697500,^,692500,^,780000,^,7,7,21.9,12.6
CAMPERDOWN,441500, ,353000, ,500000, ,455000, ,461300, ,12,12,4.5,1.4
CANADIAN,450000, ,505000, ,500000, ,482500, ,550000, ,26,26,22.2,14.0
CANTERBURY,2935000, ,3490000, ,3115000, ,3220400, ,4167500, ,22,22,42.0,29.4
CAPE PATERSON,830000,^,1085000,^,1000000,^,775000,^,692500, ,14,14,-16.6,-10.6
CAPEL SOUND,722500, ,695000, ,687500, ,748000, ,705000, ,23,23,-2.4,-5.7
CARDIGAN VILLAGE,487500,^,820000,^,545000,^,545000,*,410000,^,5,5,-15.9,NA
CARISBROOK,407500,^,665000,^,530000,^,615000,^,432500,^,2,2,6.1,-29.7
CARLTON,1589500, ,1421000, ,1545000,^,1175000, ,1360000, ,18,18,-14.4,15.7
CARLTON NORTH,1475000, ,1590000, ,1457500, ,1725000, ,1730000, ,20,20,17.3,0.3
CARNEGIE,1732500,^,1707500, ,1820000, ,1640000, ,1725000, ,21,21,-0.4,5.2
CAROLINE SPRINGS,745000, ,762000, ,727000, ,737500, ,750000, ,59,59,0.7,1.7
CARRUM,1047000,^,1230000,^,1016000,^,1016000, ,881000,^,5,5,-15.9,-13.3
CARRUM DOWNS,720000, ,720000, ,711000, ,715000, ,745000, ,97,97,3.5,4.2
CASTERTON,250000,^,298600,^,250000,^,395000,^,375000,^,5,5,50.0,-5.1
CASTLEMAINE,765000, ,757500, ,720000, ,710000, ,782500, ,27,27,2.3,10.2
CAULFIELD,2250000,*,2385000, ,2320000, ,1910000, ,2080000,^,5,5,NA,8.9
CAULFIELD EAST,1690000,^,1510000,^,1775000,^,1760000,^,1819000,^,2,2,7.6,3.4
CAULFIELD NORTH,2555000, ,2750000, ,2270000, ,2201000, ,2450000, ,19,19,-4.1,11.3
CAULFIELD SOUTH,1806000, ,1840000, ,1800000, ,1805000, ,1755000, ,19,19,-2.8,-2.8
CHADSTONE,1275000, ,1290000, ,1156000, ,1249000, ,1200000, ,11,11,-5.9,-3.9
CHARLEMONT,597500, ,606800, ,635000, ,635000, ,600000, ,31,31,0.4,-5.5
CHARLTON,299000,^,505000,^,285000,^,275000,^,265000,^,5,5,-11.4,-3.6
CHELSEA,1366300, ,1180000, ,1095000, ,1267000, ,980000, ,13,13,-28.3,-22.7
CHELSEA HEIGHTS,945000, ,950000, ,957500,^,872500, ,970000, ,17,17,2.6,11.2
CHELTENHAM,1410000, ,1392500, ,1263000, ,1307000, ,1256000, ,37,37,-10.9,-3.9
CHELTENHAM EAST,1150000, ,1112500, ,1081300, ,1155000, ,1220000, ,19,19,6.1,5.6
CHELTENHAM NORTH,1135000,^,1030000, ,960000, ,1205000, ,1100000, ,11,11,-3.1,-8.7
CHEWTON,590000,^,485000,^,860000,^,761300,^,600000,^,5,5,1.7,-21.2
CHILTERN,415000,^,500000,^,435000,^,462000,^,465000,^,5,5,12.0,0.6
CHIRNSIDE PARK,955000, ,888000, ,855000, ,897500, ,900000, ,46,46,-5.8,0.3
CHUM CREEK,890000,^,802500,^,845000,^,761000,^,761000,*,0,0,NA,NA
CHURCHILL,340000, ,355000, ,380000, ,337500, ,379000, ,15,15,11.5,12.3
CLARINDA,1025000,^,955500,^,1015000, ,1050000, ,1107000, ,17,17,8.0,5.4
CLAYTON,1188900, ,1169000, ,1150000, ,1165000, ,1200000, ,13,13,0.9,3.0
CLAYTON NORTH,1190000,^,1528000,^,1285000,^,1400000,^,1268800,^,4,4,6.6,-9.4
CLAYTON SOUTH,973500, ,935000, ,1015000, ,1060000, ,986000,^,8,8,1.3,-7.0
CLEMATIS,865000,*,817000,^,890000,^,915000,^,955000,^,1,1,NA,4.4
CLIFTON HILL,1525000, ,1721000, ,1555000, ,1442500, ,1775000, ,17,17,16.4,23.1
CLIFTON SPRINGS,740000, ,655000, ,721000, ,652600, ,640500, ,42,42,-13.4,-1.9
CLUNES,410000,^,515000,^,492500,^,505000, ,440000,^,3,3,7.3,-12.9
CLYDE,690000, ,682000, ,700000, ,691300, ,689500, ,131,131,-0.1,-0.3
CLYDE NORTH,725000, ,730000, ,733500, ,705000, ,745000, ,219,219,2.8,5.7
COBBLEBANK,605000, ,667500, ,636000, ,600000, ,618800, ,28,28,2.3,3.1
COBDEN,350000, ,365000,^,300000,^,347500,^,367500,^,7,7,5.0,5.8
COBRAM,390000, ,454300, ,411300, ,420000, ,432500, ,30,30,10.9,3.0
COBURG,1160000, ,1150000, ,1150000, ,1155000, ,1250000, ,55,55,7.8,8.2
COBURG EAST,950000, ,1130000, ,1005000, ,1174000, ,1015000, ,12,12,6.8,-13.5
COBURG NORTH,1067000, ,1110000, ,990000, ,1050000, ,975000, ,11,11,-8.6,-7.1
COCKATOO,811000, ,672500, ,720000, ,735000, ,725000, ,20,20,-10.6,-1.4
COHUNA,341000, ,340000, ,262500,^,400000, ,362500, ,12,12,6.3,-9.4
COLAC,452500, ,481000, ,452800, ,457500, ,460000, ,31,31,1.7,0.5
COLDSTREAM,826500,^,793000,^,922000,^,820000,^,800000,^,5,5,-3.2,-2.4
COLERAINE,245000,^,270000,^,265000,^,262500,^,245000,^,7,7,0.0,-6.7
COLLINGWOOD,1101000,^,1320000, ,1100000, ,1167500, ,1200000,^,9,9,9.0,2.8
CONNEWARRE,2035000,^,2500000,^,1270000,^,1950000,^,1925000,^,5,5,-5.4,-1.3
COOLAROO,525000, ,559400, ,542000, ,557500, ,601500, ,10,10,14.6,7.9
COONANS HILL,1545000,^,1155000,^,1175000,^,1207500, ,1545000,^,2,2,0.0,28.0
CORINELLA,595000,^,715000, ,585000,^,780000,^,635000,^,9,9,6.7,-18.6
CORIO,480000, ,495000, ,483500, ,495000, ,480000, ,81,81,0.0,-3.0
CORONET BAY,580000, ,510000, ,485000,^,445000,^,535000, ,18,18,-7.8,20.2
CORRYONG,380000,^,351500,^,290000,^,255000,^,440000,^,7,7,15.8,72.5
COWES,697500, ,875500,^,885000, ,898500,^,775000, ,13,13,11.1,-13.7
COWES WEST,770000, ,720000, ,735000, ,682500, ,665000, ,43,43,-13.6,-2.6
CRAIGIEBURN,660000, ,658000, ,650000, ,665000, ,679000, ,194,194,2.9,2.1
CRANBOURNE,650000, ,669000, ,647500, ,677000, ,660000, ,109,109,1.5,-2.5
CRANBOURNE EAST,729300, ,715000, ,720000, ,710000, ,722500, ,92,92,-0.9,1.8
CRANBOURNE NORTH,745000, ,720000, ,737500, ,730000, ,732500, ,70,70,-1.7,0.3
CRANBOURNE SOUTH,669500, ,822500, ,723500, ,830000, ,700000, ,17,17,4.6,-15.7
CRANBOURNE WEST,677500, ,665000, ,690000, ,695000, ,700000, ,87,87,3.3,0.7
CREMORNE,1640000,^,1550000, ,1168500,^,1141500,^,1310000,^,7,7,-20.1,14.8
CRESWICK,484300,^,517500, ,535000, ,540000, ,575000, ,19,19,18.7,6.5
CRIB POINT,765000,^,680000, ,750000, ,750000, ,710000,^,7,7,-7.2,-5.3
CROYDON,968000, ,900000, ,930000, ,884800, ,900000, ,62,62,-7.0,1.7
CROYDON HILLS,1200000, ,1237500, ,1060500, ,1215000, ,1128100, ,14,14,-6.0,-7.2
CROYDON NORTH,1165000, ,1115000, ,987000, ,1035000, ,968000, ,21,21,-16.9,-6.5
CROYDON SOUTH,950500, ,900000, ,885000, ,925000, ,917000, ,13,13,-3.5,-0.9
CURLEWIS,650000, ,672500, ,630000, ,625000, ,640800, ,22,22,-1.4,2.5
DALLAS,525000, ,545000, ,563000, ,574000, ,525000, ,15,15,0.0,-8.5
DALYSTON,512500,^,574500,^,540000,^,515000,^,553500,^,8,8,8.0,7.5
DANDENONG,680600, ,707000, ,750000, ,710000, ,725500, ,50,50,6.6,2.2
DANDENONG NORTH,742000, ,750000, ,760000, ,790000, ,750000, ,69,69,1.1,-5.1
DARLEY,622500, ,615000, ,645000, ,647000, ,645000, ,50,50,3.6,-0.3
DAYLESFORD,870000, ,910000, ,880000, ,772500, ,952500, ,16,16,9.5,23.3
DEANSIDE,640000, ,649500, ,695000, ,670000, ,669500, ,46,46,4.6,-0.1
DEEPDENE,3356000,^,3450000, ,4066900,^,3249500, ,3481300,^,4,4,3.7,7.1
DEER PARK,640500, ,675500, ,660000, ,657500, ,671000, ,48,48,4.8,2.1
DELACOMBE,535000, ,550000, ,525000, ,511000, ,513500, ,44,44,-4.0,0.5
DELAHEY,640000, ,637000, ,691000, ,625000, ,671000, ,16,16,4.8,7.4
DENNINGTON,600000,^,625000,^,610000,^,576300,^,617300,^,8,8,2.9,7.1
Derrimut,826000, ,750000, ,718500, ,750000, ,805000, ,10,10,-2.5,7.3
DIAMOND CREEK,1120500, ,1060000, ,1168000, ,1026000, ,1025000, ,33,33,-8.5,-0.1
DIGGERS REST,663000, ,670000, ,650000, ,635000, ,610000, ,30,30,-8.0,-3.9
DIMBOOLA,430000,^,245000, ,260000, ,269000, ,250000,^,7,7,-41.9,-7.1
DINGLEY VILLAGE,1150000, ,1070000, ,1120500, ,1145000, ,1055000, ,27,27,-8.3,-7.9
DONALD,230000,^,280000,^,280000,^,245000, ,260000,^,5,5,13.0,6.1
DONCASTER,1559000, ,1550000, ,1471000, ,1429000, ,1540000, ,55,55,-1.2,7.8
DONCASTER EAST,1612500, ,1660000, ,1672500, ,1531000, ,1486000, ,53,53,-7.8,-2.9
DONNYBROOK,660000, ,650000, ,665800, ,645000, ,651300, ,110,110,-1.3,1.0
DONVALE,1295000, ,1642000, ,1524000, ,1509000, ,1460000, ,19,19,12.7,-3.2
DOREEN,750000, ,750000, ,761000, ,770000, ,770500, ,114,114,2.7,0.1
DOVETON,595000, ,600000, ,610000, ,600500, ,610000, ,37,37,2.5,1.6
DROMANA,950000, ,1050000, ,1020000, ,930000, ,962500, ,54,54,1.3,3.5
DROUIN,630000, ,600000, ,600000, ,610000, ,622500, ,90,90,-1.2,2.0
DRYSDALE,652500, ,765000, ,676500, ,807000, ,620000, ,15,15,-5.0,-23.2
EAGLE POINT,675000,^,614500,^,379800,^,537500,^,540000,^,5,5,-20.0,0.5
EAGLEHAWK,526800, ,474300, ,512000, ,515000, ,527500, ,31,31,0.1,2.4
EAGLEMONT,2025000, ,2980000, ,2100000, ,2165000, ,2805000,^,6,6,38.5,29.6
EAST BAIRNSDALE,406000,^,357500,^,340000,^,435000,^,335000,^,8,8,-17.5,-23.0
EAST BENDIGO,615000,^,578000,^,670000,^,530000, ,502500, ,12,12,-18.3,-5.2
EAST GEELONG,803500, ,835000, ,696000, ,820000, ,746300, ,14,14,-7.1,-9.0
EAST MELBOURNE,4260000,^,3750000,^,3550000,^,4350000,^,1696000,^,2,2,-60.2,-61.0
EAST WARBURTON,650000,^,522500,^,560000,^,580000,^,600000,^,3,3,-7.7,3.4
EASTWOOD,595000,^,587500,^,658500,^,581000, ,632500, ,14,14,6.3,8.9
ECHUCA,572500, ,584000, ,556300, ,550000, ,579000, ,70,70,1.1,5.3
EDENHOPE,320000,^,195100,^,230000,^,365000,^,307500,^,4,4,-3.9,-15.8
EDITHVALE,1320000, ,1361500, ,1276300, ,1340000, ,1379900, ,10,10,4.5,3.0
EILDON,453800,^,377500,^,407500,^,432500,^,490000,^,3,3,8.0,13.3
ELLIMINYT,510000,^,650000, ,587500, ,470000,^,612500,^,7,7,20.1,30.3
ELMORE,322500,^,305000,^,490000,^,342500,^,455000,^,5,5,41.1,32.8
ELSTERNWICK,2285000,^,2170000, ,1810000, ,2220000, ,1950000, ,12,12,-14.7,-12.2
ELTHAM,1327000, ,1180500, ,1241000, ,1161000, ,1200000, ,45,45,-9.6,3.4
ELTHAM NORTH,1215000, ,1350000, ,1190000, ,1300000, ,1216000, ,16,16,0.1,-6.5
ELWOOD,2400000, ,2055000, ,1925000, ,2110000, ,2542500, ,20,20,5.9,20.5
EMERALD,950000, ,899000, ,910000, ,885000, ,928500, ,18,18,-2.3,4.9
ENDEAVOUR HILLS,805000, ,821000, ,823000, ,809500, ,802500, ,56,56,-0.3,-0.9
EPPING,690500, ,691000, ,654000, ,690000, ,652000, ,87,87,-5.6,-5.5
EPSOM,608300, ,588500, ,560000, ,602500, ,585000, ,28,28,-3.8,-2.9
ESSENDON,1753800, ,1900000, ,1655000, ,1660000, ,1500000, ,47,47,-14.5,-9.6
ESSENDON NORTH,1362500, ,1180000, ,1350000,^,1212000,^,1180000,^,5,5,-13.4,-2.6
ESSENDON WEST,1429000, ,1810000,^,1675000,^,1700000,^,1525000,^,5,5,6.7,-10.3
EUMEMMERRING,670000,^,625000, ,669000,^,677500,^,690000,^,3,3,3.0,1.8
