Locality,,,,,,,,,,,No. of Sales,,Change (%),
EUREKA,457500,^,587800,^,392300,^,380000,^,570000,^,5,5,24.6,50.0
EUROA,566000, ,577000, ,485000, ,570000, ,480000, ,13,13,-15.2,-15.8
EYNESBURY,675000, ,695000, ,750000, ,750000, ,750000, ,19,19,11.1,0.0
FAIRFIELD,1626000, ,1645000, ,1575000, ,1500000, ,1647000, ,17,17,1.3,9.8
FAIRHAVEN,1880000,^,2100000,^,1525000,^,1900000,^,1906500,^,2,2,1.4,0.3
FAWKNER,780000, ,780500, ,753500, ,786000, ,805000, ,37,37,3.2,2.4
FERNTREE GULLY,912000, ,870000, ,865600, ,888500, ,902000, ,58,58,-1.1,1.5
FERNY CREEK,1157500,^,882500,^,1027500,^,1020000,^,1012000,^,5,5,-12.6,-0.8
FINGAL,1650000,^,1650000,*,1800000,^,1725000,^,1242500,^,2,2,-24.7,-28.0
FITZROY,1815500, ,1762500, ,1657500, ,1901300, ,1600000, ,24,24,-11.9,-15.8
FITZROY NORTH,1827500, ,1595000, ,1435000, ,1480000, ,1415000, ,35,35,-22.6,-4.4
FIVEWAYS,892500,^,1055000,^,1055000,*,771800,^,875000,^,3,3,-2.0,13.4
FLEMINGTON,1115000, ,985000, ,1060000, ,1060000, ,1140300, ,18,18,2.3,7.6
FLINDERS,2500000,^,2375000,^,1921000,^,3960000,^,3250000,^,2,2,30.0,-17.9
FLORA HILL,530500, ,527500, ,557500, ,527300, ,520500, ,20,20,-1.9,-1.3
FOOTSCRAY,965000, ,960000, ,937500, ,1000000, ,955000, ,28,28,-1.0,-4.5
FOREST HILL,1095000, ,1185000, ,1210000, ,1235600, ,1220000, ,23,23,11.4,-1.3
FOSTER,687500,^,552500,^,580000,^,450000,^,485000,^,9,9,-29.5,7.8
FRANKSTON,745000, ,750000, ,717500, ,759000, ,750000, ,146,146,0.7,-1.2
FRANKSTON NORTH,590500, ,597600, ,601500, ,595000, ,625000, ,28,28,5.8,5.0
FRANKSTON SOUTH,1100000, ,1187500, ,1165000, ,1125000, ,1200000, ,67,67,9.1,6.7
FRASER RISE,735000, ,700000, ,710000, ,687500, ,694000, ,98,98,-5.6,0.9
FYANSFORD,975000,^,912500,^,918000,^,1120000,^,965000,^,7,7,-1.0,-13.8
GARDEN CITY,1630000,^,1560500,^,1425000,^,1845000,^,2100000,^,7,7,28.8,13.8
GARDENVALE,1820000,^,2350000,^,1416000,^,1713800,^,2221000,^,5,5,22.0,29.6
GARFIELD,540000,^,750000,^,690000,^,750000,^,862500,^,2,2,59.7,15.0
GEELONG,992500, ,905000,^,890000, ,820000, ,915000, ,14,14,-7.8,11.6
GEELONG WEST,870000, ,880000, ,811300, ,859000, ,915000, ,16,16,5.2,6.5
GEMBROOK,900000,^,865000,^,1155000,^,838000,^,1012300,^,4,4,12.5,20.8
GISBORNE,932000, ,980000, ,920000, ,857500, ,1042500, ,36,36,11.9,21.6
GLADSTONE PARK,705000, ,715000, ,710000, ,747500, ,805000, ,23,23,14.2,7.7
GLEN HUNTLY,1535000,^,1530000,^,1811000,^,1480000,^,1907000,^,3,3,24.2,28.9
GLEN IRIS,2437500, ,2360000, ,2285000, ,2330000, ,2177500, ,48,48,-10.7,-6.5
GLEN WAVERLEY,1715500, ,1689500, ,1650000, ,1610500, ,1632900, ,86,86,-4.8,1.4
GLENROWAN,542300,^,480000,^,631500,^,590000,^,580000,^,6,6,7.0,-1.7
GLENROY,829500, ,830000, ,807300, ,822500, ,860000, ,57,57,3.7,4.6
GOLDEN BEACH,395000,^,455000,^,440000,^,295000,^,335000,^,6,6,-15.2,13.6
GOLDEN POINT (BALLARAT),444000, ,610000,^,490000, ,423500, ,476000, ,21,21,7.2,12.4
GOLDEN SQUARE,497800, ,520000, ,565000, ,545000, ,525000, ,47,47,5.5,-3.7
GORDON,670000,^,599000,^,600000,^,635000,^,627500,^,4,4,-6.3,-1.2
GOWANBRAE,970000,^,1085000,^,1025000, ,1110000,^,992500,^,6,6,2.3,-10.6
GRANTVILLE,600000,^,590000, ,540000,^,600000,^,588000,^,9,9,-2.0,-2.0
GREEN LAKE,507500,^,450000,^,376500,^,420000,^,556000,^,4,4,9.6,32.4
GREENSBOROUGH,1025000, ,1090000, ,1005500, ,973000, ,1005200, ,52,52,-1.9,3.3
GREENVALE,872500, ,920000, ,850000, ,806500, ,867500, ,82,82,-0.6,7.6
GROVEDALE,651000, ,682500, ,655000, ,667500, ,650000, ,62,62,-0.2,-2.6
HADFIELD,886000, ,838500, ,852000, ,850000, ,901000, ,29,29,1.7,6.0
HALLAM,745000, ,755000, ,750000, ,767500, ,745000, ,27,27,0.0,-2.9
HALLS GAP,630000,^,611000,^,609000,^,582500,^,582500,*,0,0,NA,NA
HAMILTON,362500, ,356500, ,404000, ,395500, ,415000, ,38,38,14.5,4.9
HAMLYN HEIGHTS,655000, ,722500, ,637500, ,692500, ,750000, ,35,35,14.5,8.3
HAMPTON,2760000, ,2670000, ,2247500, ,2487500, ,2305000, ,46,46,-16.5,-7.3
HAMPTON EAST,1390000, ,1470000, ,1442500, ,1385000, ,1459000, ,11,11,5.0,5.3
HAMPTON PARK,680000, ,675000, ,665000, ,679000, ,660000, ,87,87,-2.9,-2.8
HARKNESS,575000, ,547500, ,580000, ,550000, ,563000, ,57,57,-2.1,2.4
HASTINGS,672500, ,670000, ,685000, ,670000, ,672500, ,22,22,0.0,0.4
HASTINGS WEST,610000, ,650000,^,603000,^,635000, ,652500,^,5,5,7.0,2.8
HAWTHORN,2994500, ,3232500, ,2770000, ,2750000, ,2440000, ,26,26,-18.5,-11.3
HAWTHORN EAST,2530000, ,2585000, ,2800000, ,3091000, ,2558000, ,38,38,1.1,-17.2
HEALESVILLE,820000, ,767500, ,767500, ,794000, ,805000, ,18,18,-1.8,1.4
HEATHCOTE,440000,^,491500,^,590000,^,510000, ,468000, ,12,12,6.4,-8.2
HEATHERTON,1100000,^,1300000,^,1100000,^,1185000,^,1050000,^,7,7,-4.5,-11.4
HEATHMONT,1060000, ,1080000, ,1035000, ,1010000, ,1115000, ,22,22,5.2,10.4
HEIDELBERG,1522500, ,1387000,^,812000,^,1320000, ,1375000, ,14,14,-9.7,4.2
HEIDELBERG HEIGHTS,995000, ,1172500, ,922000, ,840000, ,891500, ,16,16,-10.4,6.1
HEIDELBERG WEST,800000, ,765000, ,800000, ,800000, ,830000, ,11,11,3.8,3.8
HEPBURN,760000,^,601000,^,753500,^,680000,^,490000,^,1,1,-35.5,-27.9
HEPBURN SPRINGS,1070000,^,622500,^,750000,^,963000,^,825000,^,2,2,-22.9,-14.3
HERNE HILL,650000,^,695500, ,705000,^,693300, ,710000, ,16,16,9.2,2.4
HEYFIELD,300000,^,325000, ,365000,^,370000,^,400000, ,16,16,33.3,8.1
HEYWOOD,440000,^,340000, ,275000,^,330000,^,322500,^,6,6,-26.7,-2.3
HIGHETT,1530000, ,1453500, ,1689000, ,1400000, ,1426000, ,30,30,-6.8,1.9
HIGHTON,860000, ,890000, ,816000, ,882500, ,850000, ,61,61,-1.2,-3.7
HILLSIDE (MELTON),757500, ,885500, ,726000, ,800000, ,825000, ,39,39,8.9,3.1
HOPETOUN,205000,^,185000,^,310000,^,285000,^,162500,^,2,2,-20.7,-43.0
HOPPERS CROSSING,625000, ,635000, ,606000, ,620000, ,620000, ,140,140,-0.8,0.0
HORSHAM,377000, ,395000, ,387500, ,382000, ,413100, ,68,68,9.6,8.1
HUGHESDALE,1705000, ,1300000, ,1466000, ,1270000, ,1440000, ,13,13,-15.5,13.4
HUNTINGDALE,1340000,^,1250500,^,1174000,^,1307000,^,1260500,^,4,4,-5.9,-3.6
HUNTLY,570000, ,577500, ,555000, ,580000, ,549000, ,24,24,-3.7,-5.3
HURSTBRIDGE,1002600,^,890200, ,875000, ,1100000,^,990000,^,7,7,-1.3,-10.0
INDENTED HEAD,897500, ,1037500,^,795000,^,675000,^,730000, ,10,10,-18.7,8.1
INGLEWOOD,475000,^,315000,^,322500,^,190000,^,425000,^,3,3,-10.5,123.7
INVERLOCH,896000, ,782500, ,840000, ,891000, ,825000, ,49,49,-7.9,-7.4
INVERMAY PARK,536500,^,505000,^,560500,^,610000, ,605000,^,9,9,12.8,-0.8
IRONBARK,520000,^,387500,^,478800,^,495000,^,475000,^,6,6,-8.7,-4.0
IRYMPLE,585000, ,560000, ,552500, ,570000, ,645000, ,20,20,10.3,13.2
IVANHOE,1865000, ,1765000, ,1800000, ,1940000, ,2115000, ,22,22,13.4,9.0
IVANHOE EAST,2412500, ,2600000, ,2397500,^,2400000, ,2355000,^,9,9,-2.4,-1.9
JACANA,589500,^,587500, ,587500,^,625000, ,623500, ,12,12,5.8,-0.2
JACKASS FLAT,572500, ,550000, ,530000, ,531000, ,545000,^,7,7,-4.8,2.6
JAN JUC,1320000,^,1250000, ,1252500,^,1250000, ,1232500, ,14,14,-6.6,-1.4
JEERALANG NORTH,392500,^,410000,^,415000,^,367500,^,410000,^,3,3,4.5,11.6
JEPARIT,140000,^,130000,^,148500,^,290000,^,191500,^,2,2,36.8,-34.0
JUNCTION VILLAGE,710000,^,780000,^,665000,^,652500,^,665000,^,7,7,-6.3,1.9
JUNORTOUN,690000,^,825000,^,920000, ,787500,^,806000, ,13,13,16.8,2.3
KALIMNA,575000,^,580000,^,358800,^,395000,^,557500,^,2,2,-3.0,41.1
KALKALLO,610000, ,630000, ,640000, ,655000, ,630000, ,79,79,3.3,-3.8
KALLISTA,780000,*,830000,^,875000,^,797500,^,900000,^,7,7,NA,12.9
KALORAMA,842500,^,985300,^,985000,^,777500,^,815000,^,2,2,-3.3,4.8
KANGAROO FLAT,540000, ,547500, ,515000, ,531800, ,556300, ,72,72,3.0,4.6
KANGAROO GROUND SOUTH,1030500,^,1100000,^,1230000,^,1238500,^,1001000,^,5,5,-2.9,-19.2
KANIVA,132500,^,285000,^,280000,^,256500,^,156000,^,3,3,17.7,-39.2
KEALBA,715000,^,700000, ,657500, ,705300, ,707500,^,8,8,-1.0,0.3
KEILOR,1156000, ,1187500, ,1130000, ,1005000, ,1262000, ,17,17,9.2,25.6
KEILOR DOWNS,702800, ,774000, ,780000, ,800000, ,815000, ,15,15,16.0,1.9
KEILOR EAST,1052500, ,1057500, ,1020000, ,1095000, ,930000, ,49,49,-11.6,-15.1
KEILOR LODGE,1100000,^,958800,^,821000,^,941000,^,1007500,^,6,6,-8.4,7.1
KEILOR PARK,905000,^,851000,^,782000,^,826800, ,850000,^,5,5,-6.1,2.8
KENNINGTON,562500, ,593000, ,500000, ,587500, ,582500, ,34,34,3.6,-0.9
KENSINGTON,1102500, ,1181500, ,1014000, ,1050000, ,1074000, ,26,26,-2.6,2.3
KERANG,282500, ,447500, ,300000, ,320000, ,357000, ,14,14,26.4,11.6
KEW,3202500, ,2890000, ,2810000, ,2662000, ,2745000, ,54,54,-14.3,3.1
KEW NORTH,2230000, ,2310000, ,2100000, ,2197500, ,2150000, ,13,13,-3.6,-2.2
KEYSBOROUGH,945000, ,905000, ,949400, ,935800, ,933500, ,66,66,-1.2,-0.2
KIALLA,670000, ,660000, ,655000, ,675000, ,708000, ,30,30,5.7,4.9
KILLARA (WODONGA),630000, ,632500, ,762500,^,670000,^,641500, ,11,11,1.8,-4.3
KILMORE,600000, ,612500, ,615000, ,630000, ,615000, ,52,52,2.5,-2.4
KILSYTH,815000, ,808500, ,782500, ,863000, ,790000, ,39,39,-3.1,-8.5
KILSYTH SOUTH,1072500,^,1225000,^,1253000,^,1048300, ,1190000,^,9,9,11.0,13.5
KINGLAKE,805000,^,587500,^,737500, ,831000,^,730000, ,10,10,-9.3,-12.2
KINGS PARK,630500, ,620000, ,600000, ,616000, ,620000, ,26,26,-1.7,0.6
KINGSBURY,758000,^,845000,^,848300, ,880000,^,791800, ,10,10,4.5,-10.0
KINGSVILLE,1077500, ,1125000, ,1247500, ,1050000,^,1337500, ,14,14,24.1,27.4
KNOXFIELD,1000000, ,940000, ,950000, ,873500, ,1100000, ,17,17,10.0,25.9
KOO WEE RUP,670000, ,645000, ,674000, ,667500, ,735000, ,21,21,9.7,10.1
KOONDROOK,325000,^,512500,^,355000,^,355000,*,510000,^,3,3,56.9,NA
KOROIT,575000, ,614600,^,600000,^,485000,^,625000,^,5,5,8.7,28.9
KORUMBURRA,535000, ,570000, ,525000, ,546300, ,565000, ,23,23,5.6,3.4
KURUNJANG,505000, ,529500, ,520000, ,535500, ,542000, ,49,49,7.3,1.2
KYABRAM,430000, ,495000, ,480000, ,450000, ,453500, ,28,28,5.5,0.8
KYNETON,725000, ,847000, ,770400, ,765000, ,809500, ,16,16,11.7,5.8
LAKE BOGA,837000,^,220000,^,875000,^,615000,^,310000,^,7,7,-63.0,-49.6
LAKE GARDENS,686500,^,751400, ,690000,^,747500, ,701000,^,9,9,2.1,-6.2
LAKE TYERS BEACH,552500, ,552500,*,601500,^,597500,^,500000,^,7,7,-9.5,-16.3
LAKE WENDOUREE,1450000, ,1310000,^,900000,^,1850000,^,725000,^,8,8,-50.0,-60.8
LAKES ENTRANCE,597500, ,565000, ,515000, ,420000, ,475000, ,22,22,-20.5,13.1
LALOR,706000, ,700000, ,686800, ,697500, ,717500, ,76,76,1.6,2.9
LANCEFIELD,662500, ,560000,^,670000,^,715000,^,650000,^,5,5,-1.9,-9.1
LANG LANG,737500, ,707500, ,680000, ,720000, ,715000, ,19,19,-3.1,-0.7
LANGWARRIN,861000, ,832500, ,872000, ,877500, ,840000, ,78,78,-2.4,-4.3
LARA,690000, ,675000, ,685000, ,652500, ,655000, ,34,34,-5.1,0.4
LARA LAKE,685000, ,696000, ,670000, ,643500, ,677000, ,56,56,-1.2,5.2
LAUNCHING PLACE,675000,^,680000,^,698800,^,730000,^,702500,^,8,8,4.1,-3.8
LAVERTON,590000, ,595000, ,590000, ,570000, ,600500, ,28,28,1.8,5.4
LAVERTON SOUTH,800000, ,750000, ,745000, ,712500, ,710500, ,32,32,-11.2,-0.3
LENEVA,650000, ,770000,^,675000, ,710000,^,650000,^,9,9,0.0,-8.5
LEONGATHA,598800, ,520000, ,525000, ,590000, ,556500, ,36,36,-7.1,-5.7
LEOPOLD,680000, ,665000, ,635000, ,667500, ,651000, ,66,66,-4.3,-2.5
LILYDALE,960000, ,869000, ,850000, ,897500, ,870500, ,56,56,-9.3,-3.0
LISMORE,273800,^,273800,*,285000,^,262500,^,210000,^,1,1,-23.3,-20.0
LOCH SPORT,380000, ,341500, ,460000,^,350000, ,408500, ,20,20,7.5,16.7
LOCKINGTON,430000,^,310000,^,300000,^,300000,^,390000,^,5,5,-9.3,30.0
LONG GULLY,445000, ,450000, ,410500, ,473500, ,470500, ,21,21,5.7,-0.6
LONGWARRY,590000, ,560000, ,600800, ,570000,^,613800, ,14,14,4.0,7.7
LORNE,2000000,^,2000000,^,1545000,^,1735000, ,2125000,^,4,4,6.3,22.5
LOVELY BANKS,727500,^,770000,^,690000,^,775000,^,710000,^,5,5,-2.4,-8.4
LOWER PLENTY,1264000,^,1455000,^,1350000,^,1250000,^,1600000,^,5,5,26.6,28.0
LUCAS,627500, ,619000, ,645000, ,640000, ,617500, ,34,34,-1.6,-3.5
LUCKNOW,579500,^,592000,^,487500,^,545000,^,515000,^,6,6,-11.1,-5.5
LYNBROOK,858500, ,730000, ,775000, ,851000, ,840000, ,23,23,-2.2,-1.3
LYNDHURST,862000, ,900300, ,875000, ,973000, ,940000, ,29,29,9.0,-3.4
LYSTERFIELD,1300000, ,1340000, ,1215000, ,1535000, ,1460000, ,13,13,12.3,-4.9
MACARTHUR,247500,^,470000,^,310000,^,329900,^,310000,^,5,5,25.3,-6.0
MACEDON,1000000,^,1010000,^,1512500,^,770000,^,660000,^,3,3,-34.0,-14.3
MACLEOD,1190000, ,1285000, ,1020000, ,1225000, ,1028500, ,24,24,-13.6,-16.0
MADDINGLEY,621300, ,615000, ,637500, ,618800, ,595000, ,23,23,-4.2,-3.8
MAFFRA,455000, ,401000, ,430000, ,443500, ,495000, ,20,20,8.8,11.6
MAIDEN GULLY,785000, ,830000, ,776500, ,710000, ,780000, ,11,11,-0.6,9.9
MAIDSTONE,875000, ,875000, ,850000, ,807500, ,847500, ,24,24,-3.1,5.0
MALDON,757500,^,745000,^,657500,^,827500,^,690000,^,9,9,-8.9,-16.6
MALLACOOTA,767500,^,700000,^,470000,^,400000,^,400000,^,4,4,-47.9,0.0
MALMSBURY,661000,^,600000,^,775000,^,920000,^,765000,^,2,2,15.7,-16.8
MALVERN,3265000, ,3415000, ,3312000, ,3285000, ,3340000, ,20,20,2.3,1.7
MALVERN EAST,2107500, ,2142500, ,2050000, ,2040000, ,2000000, ,51,51,-5.1,-2.0
MAMBOURIN,620500, ,632500, ,637500, ,609000, ,609500, ,34,34,-1.8,0.1
MANIFOLD HEIGHTS,920000,^,1316000, ,1352500,^,960000,^,923800,^,6,6,0.4,-3.8
MANOR LAKES,625000, ,640000, ,655000, ,631500, ,650000, ,97,97,4.0,2.9
MANSFIELD,750000, ,740000, ,800000, ,747500, ,750000, ,17,17,0.0,0.3
MARIBYRNONG,1250000, ,1437500, ,1220000, ,1100000, ,1070000, ,17,17,-14.4,-2.7
MARONG,675000, ,660000,^,705000,^,640000, ,600000,^,7,7,-11.1,-6.3
MARSHALL,630000,^,665000,^,575000,^,605000, ,662500,^,8,8,5.2,9.5
MARYBOROUGH,401500, ,387000, ,407500, ,350000, ,378000, ,53,53,-5.9,8.0
MCCRAE,1400000, ,1500000, ,1175000, ,1250000, ,1135000, ,18,18,-18.9,-9.2
MCKENZIE HILL,850000,^,840000,^,815000,^,787500,^,760000,^,2,2,-10.6,-3.5
MCKINNON,2050000,^,1810000, ,1850000, ,1740000, ,1875000,^,8,8,-8.5,7.8
MEADOW HEIGHTS,577500, ,597500, ,581500, ,620000, ,640000, ,31,31,10.8,3.2
MELTON,465000, ,486300, ,465000, ,473500, ,490000, ,53,53,5.4,3.5
MELTON SOUTH,465000, ,512500, ,517500, ,525000, ,545000, ,79,79,17.2,3.8
MELTON WEST,510000, ,525000, ,520000, ,544000, ,545000, ,39,39,6.9,0.2
MENTONE,1400000, ,1370000, ,1300000, ,1250000, ,1312500, ,30,30,-6.3,5.0
MERBEIN,340000,^,310000, ,302000, ,452500, ,356300, ,10,10,4.8,-21.3
MERINDA PARK,640000, ,654500, ,650000,^,665000,^,665500,^,8,8,4.0,0.1
MERNDA,699000, ,720000, ,700000, ,690000, ,730000, ,99,99,4.4,5.8
METUNG,1050000,^,675000,^,641000,^,770000,^,665000, ,11,11,-36.7,-13.6
MICKLEHAM,690000, ,670000, ,680000, ,665500, ,682000, ,186,186,-1.2,2.5
MIDDLE PARK,2513500, ,3150000, ,2550000,^,2334000, ,2910000,^,9,9,15.8,24.7
MILDURA,465000, ,430000, ,455000, ,490000, ,485000, ,165,165,4.3,-1.0
MILL PARK,775000, ,780900, ,759300, ,800300, ,812500, ,78,78,4.8,1.5
MILLGROVE,592500, ,625000,^,593800,^,570000,^,607500, ,12,12,2.5,6.6
MINERS REST,590000, ,612500, ,607800, ,542500, ,545000, ,18,18,-7.6,0.5
MINYIP,185000,^,169500,^,182500,^,153500,^,160000,^,1,1,-13.5,4.2
MIRBOO NORTH,500000,^,420000,^,580000,^,482000,^,527500,^,4,4,5.5,9.4
MITCHAM,1213500, ,1175500, ,1142500, ,1181000, ,1180000, ,29,29,-2.8,-0.1
MOE,358500, ,375000, ,369000, ,350000, ,345000, ,65,65,-3.8,-1.4
MONBULK,781500,^,937500, ,805500,^,780000, ,715000,^,3,3,-8.5,-8.3
MONT ALBERT,2332000,^,2745000, ,2495000,^,2420000, ,2561000,^,8,8,9.8,5.8
MONT ALBERT NORTH,1498500,^,1651900, ,1580000, ,1562500, ,1860000, ,11,11,24.1,19.0
MONTMORENCY,1205000, ,1161500, ,1217500, ,1100000, ,1165000, ,22,22,-3.3,5.9
MONTROSE,862000, ,945000, ,914000, ,875000, ,910000, ,17,17,5.6,4.0
MOONEE PONDS,1545000, ,1580000, ,1585000, ,1470500, ,1410000, ,35,35,-8.7,-4.1
MOORABBIN,1342500, ,1340000, ,1250000, ,1255000, ,1232500, ,12,12,-8.2,-1.8
MOOROOLBARK,846000, ,880000, ,842300, ,855000, ,860000, ,77,77,1.7,0.6
MOOROOPNA,410000, ,380000, ,400000, ,415000, ,465000, ,45,45,13.4,12.0
MORDIALLOC,1350000,^,1262500, ,1440000, ,1380000, ,1390000, ,18,18,3.0,0.7
MORNINGTON,1160000, ,1085000, ,980000, ,1165000, ,1026400, ,70,70,-11.5,-11.9
MORTLAKE,405000,^,297500,^,364000,^,325000, ,385000,^,8,8,-4.9,18.5
MORWELL,322000, ,331500, ,337000, ,343000, ,351000, ,96,96,9.0,2.3
MOUNT BEAUTY,552000,^,600000,^,572500,^,600000,^,542500,^,2,2,-1.7,-9.6
MOUNT CLEAR,560000, ,500000, ,547500, ,473800, ,585000, ,17,17,4.5,23.5
MOUNT DANDENONG,865000,^,782500,^,1220000,^,852500,^,820000,^,7,7,-5.2,-3.8
MOUNT DUNEED,705000, ,705000, ,688500, ,724000, ,710000, ,61,61,0.7,-1.9
MOUNT ELIZA,1459000, ,1617500, ,1600000, ,1600000, ,1605000, ,61,61,10.0,0.3
MOUNT EVELYN,840000, ,817500, ,822500, ,800000, ,865000, ,28,28,3.0,8.1
MOUNT HELEN,760000,^,633500, ,620000, ,640000,^,580000, ,11,11,-23.7,-9.4
MOUNT MARTHA,2025000, ,2100000, ,1530000, ,1847500, ,1485000, ,18,18,-26.7,-19.6
MOUNT PLEASANT,465000,^,467500, ,522500,^,455000, ,505000,^,8,8,8.6,11.0
MOUNT WAVERLEY,1670000, ,1565000, ,1585400, ,1614000, ,1595000, ,97,97,-4.5,-1.2
MULGRAVE,975000, ,1050000, ,1086000, ,1063000, ,1150000, ,52,52,17.9,8.2
MURRUMBEENA,1885000,^,1790000, ,1535000, ,1677500, ,1587000, ,12,12,-15.8,-5.4
MURTOA,262000,^,280000,^,190000,^,350000,^,529000,^,1,1,101.9,51.1
MYRTLEFORD,595000, ,540000, ,580000, ,500000, ,520000, ,11,11,-12.6,4.0
NAGAMBIE,600500, ,635000,^,505000,^,660000,^,628500, ,10,10,4.7,-4.8
NAR NAR GOON NORTH,735000,^,955000,^,699000,^,685000,^,730000,^,2,2,-0.7,6.6
NARRE WARREN,740000, ,750000, ,745000, ,770000, ,755500, ,94,94,2.1,-1.9
NARRE WARREN NORTH,1605000, ,1692500, ,1715000,^,1665000, ,1400000,^,7,7,-12.8,-15.9
NARRE WARREN SOUTH,800000, ,845000, ,825000, ,799500, ,798400, ,92,92,-0.2,-0.1
NATHALIA,382500,^,428800,^,445000,^,350000,^,449000,^,6,6,17.4,28.3
NEERIM SOUTH,617500,^,680000,^,570000,^,740000,^,690000,^,5,5,11.7,-6.8
NERRINA,770000,^,942500,^,733000,^,540000,^,580000,^,3,3,-24.7,7.4
NEW GISBORNE,1025000,^,735000,^,755000,^,860000,^,776000,^,3,3,-24.3,-9.8
NEWBOROUGH,410000, ,437500, ,405000, ,449000, ,455000, ,39,39,11.0,1.3
NEWCOMB,608000, ,555800, ,553500, ,564000, ,550000, ,24,24,-9.5,-2.5
NEWINGTON,600000, ,555000, ,750000,^,747500, ,611000, ,11,11,1.8,-18.3
NEWLANDS ARM,937500,^,572500,^,540000,^,450000,^,580000,^,5,5,-38.1,28.9
NEWPORT,1250000, ,1307500, ,1300000, ,1277500, ,1310000, ,39,39,4.8,2.5
NEWTOWN (GREATER GEELONG),1295000, ,1260000, ,1177500, ,1117500, ,980000, ,30,30,-24.3,-12.3
NHILL,279000, ,320000, ,220000, ,252000, ,270000, ,14,14,-3.2,7.1
NICHOLS POINT,880000,^,731000,^,652500,^,910000,^,540000,^,3,3,-38.6,-40.7
NIDDRIE,1260000, ,1165000, ,1181300, ,1295000, ,1260000, ,18,18,0.0,-2.7
NOBLE PARK,785000, ,785000, ,753000, ,765000, ,777500, ,40,40,-1.0,1.6
NOBLE PARK NORTH,765000, ,800000, ,765000, ,770000, ,767500, ,18,18,0.3,-0.3
NORLANE,479000, ,433800, ,463500, ,465000, ,445000, ,62,62,-7.1,-4.3
