Locality,,,,,,,,,,,No. of Sales,,Change (%),
NORTH BENDIGO,479500, ,552000, ,435000, ,535000, ,497500, ,23,23,3.8,-7.0
NORTH GEELONG,620000, ,710000, ,647000, ,610000, ,650000, ,17,17,4.8,6.6
NORTH MELBOURNE,1221900, ,1190000, ,1742000,^,1272500, ,1267000, ,25,25,3.7,-0.4
NORTH WONTHAGGI,578200, ,545500, ,535000, ,580000, ,512500, ,26,26,-11.4,-11.6
NORTHCOTE,1737500, ,1530000, ,1595500, ,1575000, ,1720000, ,43,43,-1.0,9.2
NOTTING HILL,1121000,^,997500,^,1294700,^,1250000,^,1228000,^,5,5,9.5,-1.8
NUMURKAH,350000,^,402500, ,422500, ,399000, ,420000, ,23,23,20.0,5.3
NUNAWADING,1210200, ,1240000, ,1200000, ,1040000, ,1175000, ,25,25,-2.9,13.0
NYAH,545500,^,214500,^,345000,^,265000,^,315000,^,1,1,-42.3,18.9
NYAH WEST,245000,*,272000,^,272000,*,197500,^,277500,^,5,5,NA,40.5
OAK PARK,1200000, ,1230000, ,1007500, ,1055000, ,1150000, ,12,12,-4.2,9.0
OAKLEIGH,1455000, ,1340500, ,1250000, ,1300000, ,1260000, ,19,19,-13.4,-3.1
OAKLEIGH EAST,1255000,^,1110000, ,1215000,^,1110000, ,1226000, ,10,10,-2.3,10.5
OAKLEIGH SOUTH,1252800, ,1271000, ,1200000, ,1072500, ,1179000, ,16,16,-5.9,9.9
OCEAN GROVE,970000, ,995000, ,917000, ,997500, ,896000, ,82,82,-7.6,-10.2
OFFICER,711500, ,712000, ,730000, ,711000, ,740000, ,112,112,4.0,4.1
OFFICER SOUTH,780000, ,660500,^,826000,^,755000,^,915000,^,8,8,17.3,21.2
OLINDA,975000,^,1065000,^,895000,^,860000,^,1000000, ,13,13,2.6,16.3
ORBOST,357000,^,278500, ,395000,^,367500, ,308000,^,8,8,-13.7,-16.2
ORMOND,1855500, ,1991000,^,1630500,^,1929000, ,1788000, ,13,13,-3.6,-7.3
OSBORNE,952600, ,931300, ,924500, ,967000, ,1170000, ,25,25,22.8,21.0
OUYEN,195000,^,240000,^,270000,^,310000,^,260000,^,5,5,33.3,-16.1
PAKENHAM,661000, ,670500, ,640000, ,660000, ,670000, ,247,247,1.4,1.5
PARADISE BEACH,245000,^,460000,^,320000,^,320000,*,270000,^,1,1,10.2,NA
PARK ORCHARDS,1910000,^,2405000,^,1932000, ,1820000,^,2205000,^,1,1,15.4,21.2
PARKDALE,1700000, ,1505000, ,1450000, ,1475000, ,1460000, ,25,25,-14.1,-1.0
PARKVILLE,1575000,^,1642000,^,1982500,^,1893500,^,1635000,^,7,7,3.8,-13.7
PASCOE VALE,1040000, ,1050000, ,1020000, ,1096000, ,1170000, ,33,33,12.5,6.8
PASCOE VALE SOUTH,1295000, ,1050000, ,1230000, ,1255000, ,1222500, ,23,23,-5.6,-2.6
PATTERSON GARDENS,1450000,^,1265000,^,1026000,^,1205000,^,1140000,^,6,6,-21.4,-5.4
PATTERSON LAKES,1578500, ,1230000, ,1474000, ,1112500, ,1011500, ,10,10,-35.9,-9.1
PAYNESVILLE,470000, ,545000, ,535000, ,482500, ,540000, ,27,27,14.9,11.9
PEARCEDALE,895000,^,935000, ,805000, ,950000,^,820000, ,11,11,-8.4,-13.7
PETERBOROUGH,550000,^,550000,*,955000,^,782500,^,820000,^,4,4,49.1,4.8
PIONEER BAY,605000,^,525000,^,588800,^,517000,^,458000,^,6,6,-24.3,-11.4
PLENTY,1525000,^,1697500,^,1480000,^,1610000,^,1320000,^,1,1,-13.4,-18.0
POINT COOK,810000, ,770000, ,782000, ,767000, ,815000, ,180,180,0.6,6.3
POINT LONSDALE,1250000, ,1158500, ,1225000, ,1150000, ,1200000, ,21,21,-4.0,4.3
POREPUNKAH,740000,^,820000,^,1250000,^,843000,^,1100000,^,5,5,48.6,30.5
PORT FAIRY,1200000, ,788500, ,830000,^,865000,^,835000, ,20,20,-30.4,-3.5
PORT MELBOURNE,1600000, ,1726000, ,1475000, ,1550000, ,1635000, ,36,36,2.2,5.5
PORTARLINGTON,1020000, ,878500, ,863800, ,787500, ,837500, ,26,26,-17.9,6.3
PORTLAND,400000, ,440000, ,425000, ,390000, ,445000, ,57,57,11.3,14.1
PORTSEA,3800000, ,2830000,^,2775000,^,3665000,^,4600000,^,9,9,21.1,25.5
PRAHRAN,1731000, ,1510000, ,1313000, ,1715000, ,1787500, ,34,34,3.3,4.2
PRESTON,1160000, ,1262000, ,1162500, ,1186300, ,1172500, ,62,62,1.1,-1.2
PRINCES HILL,2350000,^,1577500, ,1787500,^,1770000, ,1425000,^,5,5,-39.4,-19.5
QUARRY HILL,757500, ,612500, ,652500, ,595000, ,541500, ,12,12,-28.5,-9.0
QUEENSCLIFF,1300000,^,1250000,^,1265000,^,1710000,^,1800000,^,5,5,38.5,5.3
RAINBOW,235000,^,225000,^,160000,^,209500,^,300000,^,1,1,27.7,43.2
RAWSON,371000,^,371000,*,380000,^,330000,^,402500,^,4,4,8.5,22.0
RAYMOND ISLAND,505000,^,380000,^,430000,^,520000,^,437000,^,6,6,-13.5,-16.0
RED CLIFFS,400000, ,340000, ,385000, ,407500, ,420000, ,27,27,5.0,3.1
RED HILL,1705000,*,2292500,^,1552500,^,2040000,^,1595000,^,5,5,NA,-21.8
REDAN,432000, ,472500, ,425000, ,445000, ,472500, ,13,13,9.4,6.2
RESEARCH,1107000,^,1900000,^,1450000,^,1122500,^,1493500,^,4,4,34.9,33.1
RESERVOIR,918500, ,915000, ,907500, ,893500, ,915000, ,94,94,-0.4,2.4
RHYLL,980000,^,767500,^,1066300,^,970000,^,1002500,^,8,8,2.3,3.4
RICHMOND,1470000, ,1360000, ,1462000, ,1320000, ,1400500, ,42,42,-4.7,6.1
RIDDELLS CREEK,900000, ,795000,^,800000,^,1045000, ,805000, ,12,12,-10.6,-23.0
RINGWOOD,1067800, ,1042000, ,1018000, ,1040000, ,1085500, ,25,25,1.7,4.4
RINGWOOD EAST,1250000, ,975000, ,1065000, ,982500, ,1090000, ,21,21,-12.8,10.9
RINGWOOD NORTH,1313800, ,1230000, ,1185000, ,1190000, ,1220000, ,43,43,-7.1,2.5
RIPPLESIDE,1205000,^,1055000,^,1185000,^,1050000,^,2032500,^,2,2,68.7,93.6
RIPPONLEA,1495000,^,2010000,^,2325000,^,1170000,^,1815000,^,2,2,21.4,55.1
ROBINVALE,400000, ,385000, ,381500,^,408500,^,477000,^,9,9,19.3,16.8
ROCHESTER,490000,^,220000, ,220000, ,300000,^,460000, ,10,10,-6.1,53.3
ROCKBANK,635000, ,636300, ,635000, ,620000, ,556000, ,35,35,-12.4,-10.3
ROMSEY,750000, ,705100, ,825000, ,800000, ,766000, ,18,18,2.1,-4.3
ROSANNA,1316000, ,1510000, ,1377500, ,1360000, ,1312500, ,18,18,-0.3,-3.5
ROSEBUD,710000, ,732500, ,730000, ,731500, ,730000, ,60,60,2.8,-0.2
ROSEBUD SOUTH,940000, ,1095000, ,850000, ,950000, ,1090000, ,19,19,16.0,14.7
ROSEDALE,585000,^,565000,^,420000, ,434000, ,525000,^,7,7,-10.3,21.0
ROWVILLE,1130000, ,1054100, ,1016000, ,1060000, ,1110000, ,68,68,-1.8,4.7
ROXBURGH PARK,675000, ,671500, ,650000, ,662500, ,685000, ,67,67,1.5,3.4
RUSHWORTH,405000,^,296300,^,437500,^,340000,^,300000,^,3,3,-25.9,-11.8
RUTHERGLEN,482000,^,545000, ,555000,^,592000, ,561500,^,6,6,16.5,-5.2
RYE,1130000, ,1082500, ,1000000, ,860000, ,920000, ,81,81,-18.6,7.0
SAFETY BEACH,1250000, ,1200000, ,1185000, ,1182500, ,1140000, ,17,17,-8.8,-3.6
SALE,479000, ,482500, ,505000, ,475000, ,510000, ,50,50,6.5,7.4
SAN REMO,940000,^,989500,^,900000,^,840000,^,947500, ,12,12,0.8,12.8
SANCTUARY LAKES,758000, ,723000, ,752000, ,735000, ,795000, ,91,91,4.9,8.2
SANDHURST,992500, ,997000, ,1016800, ,965000, ,1100000, ,27,27,10.8,14.0
SANDRINGHAM,2020000, ,2030000, ,2102500, ,2210000, ,2077500, ,18,18,2.8,-6.0
SASSAFRAS,1150000,^,860000,^,915000,^,1012500,^,930000,^,7,7,-19.1,-8.1
SCORESBY,938300, ,965500, ,965000, ,986500, ,930000,^,9,9,-0.9,-5.7
SEA LAKE,142500,^,290000,^,162000,^,191100,^,328500,^,2,2,130.5,71.9
SEABROOK,765000, ,770000,^,749500, ,770000, ,765000, ,15,15,0.0,-0.6
SEAFORD,850000, ,845000, ,853500, ,805800, ,856000, ,66,66,0.7,6.2
SEAHOLME,1485500,^,1260000,^,1245000,^,1300000,^,1110000,^,5,5,-25.3,-14.6
SEBASTOPOL,425000, ,401000, ,420000, ,420000, ,447500, ,76,76,5.3,6.5
SEDDON,1100000, ,1100000, ,1192500, ,1077500, ,1062500, ,20,20,-3.4,-1.4
SELBY,900000,^,657000,^,945000,^,790000,^,810000,^,5,5,-10.0,2.5
SEVILLE,871500,^,851000,^,773800,^,900000,^,790000,^,7,7,-9.4,-12.2
SEYMOUR,450000, ,426300, ,485000, ,400000, ,443000, ,27,27,-1.6,10.8
SHEPPARTON,480000, ,446800, ,450000, ,470000, ,470500, ,188,188,-2.0,0.1
SHEPPARTON NORTH,599000,^,860000, ,625000,^,735000,^,580000,^,7,7,-3.2,-21.1
SHOREHAM,1770000,^,1770000,*,1770000,*,2175000,^,1925000,^,1,1,8.8,-11.5
SKYE,753300, ,800000, ,778800, ,775000, ,787500, ,28,28,4.5,1.6
SMYTHES CREEK,515000,^,540000,^,539000, ,520000,^,506500, ,14,14,-1.7,-2.6
SMYTHESDALE,505000,^,511800,^,525000,^,515000,^,470000,^,5,5,-6.9,-8.7
SOLDIERS HILL,570000, ,660000, ,585000, ,600000, ,520000, ,13,13,-8.8,-13.3
SOMERS,1143800, ,1345000,^,1427500,^,1420000, ,1200000,^,7,7,4.9,-15.5
SOMERVILLE,880000, ,782000, ,871300, ,787500, ,890000, ,41,41,1.1,13.0
SORRENTO,2380000, ,2050000, ,1850000, ,1800000, ,1780000, ,33,33,-25.2,-1.1
SOUTH DUDLEY,597500,*,410000,^,320000,^,457500,^,467500,^,5,5,NA,2.2
SOUTH GEELONG,952500,^,867500,^,867500,*,932500,^,635000,^,3,3,-33.3,-31.9
SOUTH KINGSVILLE,1027500,^,1065000,^,1200000,^,1050000, ,1050000,*,0,0,NA,NA
SOUTH MELBOURNE,1725000, ,1616300, ,1325000, ,1535000, ,1590000, ,26,26,-7.8,3.6
SOUTH MORANG,762500, ,743000, ,720000, ,753500, ,745000, ,65,65,-2.3,-1.1
SOUTH YARRA,2325000, ,2203800, ,1595000, ,2597500, ,1590000, ,23,23,-31.6,-38.8
SPOTSWOOD,1200000,^,1120000, ,1032000,^,1230300, ,1415000,^,9,9,17.9,15.0
SPRING GULLY,665000,^,632500, ,590000, ,715000, ,583500, ,12,12,-12.3,-18.4
SPRINGVALE,860000, ,855000, ,825000, ,870000, ,860000, ,29,29,0.0,-1.1
SPRINGVALE SOUTH,830000, ,800000, ,882500, ,841000, ,785000, ,19,19,-5.4,-6.7
ST ALBANS,650000, ,650000, ,660000, ,652000, ,650000, ,85,85,0.0,-0.3
ST ALBANS PARK,562500, ,600000,^,575000, ,605000, ,608800, ,12,12,8.2,0.6
ST ANDREWS BEACH,3500000,^,1450000,^,1670500,^,1187500,^,1220000,^,4,4,-65.1,2.7
ST ARNAUD,242000,^,242500, ,330000, ,225000,^,300000, ,11,11,24.0,33.3
ST HELENA,1176000,^,1230000,^,1087500,^,1193300, ,1125000,^,5,5,-4.3,-5.7
ST KILDA,1506500, ,1435000, ,1680000, ,1590000, ,1423000,^,6,6,-5.5,-10.5
ST KILDA EAST,2110000, ,1560000, ,1650000, ,1621000, ,1580000, ,17,17,-25.1,-2.5
ST KILDA WEST,4085500,^,1445000,^,1910000,^,3700000,^,2760000,^,3,3,-32.4,-25.4
ST LEONARDS,725000, ,705000, ,740000, ,715000, ,700000, ,37,37,-3.4,-2.1
STANHOPE,410000,^,337500,^,314000,^,405000,^,342500,^,3,3,-16.5,-15.4
STAWELL,310000, ,315000, ,305000, ,328800, ,337500, ,26,26,8.9,2.7
STRATFORD,492000,^,450000, ,525000, ,500300, ,497500, ,14,14,1.1,-0.5
STRATHDALE,597500, ,680000, ,625000, ,614700, ,685000, ,27,27,14.6,11.4
STRATHFIELDSAYE,690000, ,633500, ,693000, ,730000, ,702000, ,23,23,1.7,-3.8
STRATHMERTON,330000,^,330000,^,469300,^,469300,*,162000,^,1,1,-50.9,NA
STRATHMORE,1431000, ,1535000, ,1697500, ,1645000, ,1485500, ,26,26,3.8,-9.7
STRATHMORE HEIGHTS,1050000,^,910000,^,910000,*,747500,^,1075000,^,2,2,2.4,43.8
STRATHTULLOH,629000, ,639000, ,649500, ,615000, ,625000, ,45,45,-0.6,1.6
STUDFIELD,953000,^,1085000,^,1027500, ,1177500, ,1077500, ,10,10,13.1,-8.5
SUNBURY,650000, ,667000, ,680000, ,660000, ,677500, ,208,208,4.2,2.7
SUNDERLAND BAY,575000,^,640000,^,625000,^,625000,*,617500,^,4,4,7.4,NA
SUNNYCLIFFS,322300,^,232000,^,432800,^,395000,^,341500,^,6,6,6.0,-13.5
SUNSET STRIP,640000,^,665000,^,687500,^,633000,^,530000,^,7,7,-17.2,-16.3
SUNSHINE,840000, ,815000, ,800000, ,824000, ,750000, ,33,33,-10.7,-9.0
SUNSHINE NORTH,725000, ,757500, ,765000, ,730000, ,720000, ,29,29,-0.7,-1.4
SUNSHINE WEST,685000, ,682500, ,675500, ,690000, ,710500, ,54,54,3.7,3.0
SURF BEACH,802500,^,705000,^,728000,^,912500,^,695000,^,4,4,-13.4,-23.8
SURREY HILLS,2350000, ,2250000, ,2300000, ,2223000, ,2513000, ,32,32,6.9,13.0
SWAN HILL,497000, ,480000, ,450000, ,486000, ,545000, ,35,35,9.7,12.1
SYDENHAM,753500, ,702500, ,685000, ,699100, ,690000, ,24,24,-8.4,-1.3
SYNDAL,1775000, ,2110000, ,1931000, ,2235000, ,1832000, ,11,11,3.2,-18.0
TALLANGATTA,445000,^,500000,^,460000,^,460000,^,402000,^,3,3,-9.7,-12.6
TANGAMBALANGA,795000,^,672000,^,672500,^,659500,^,700000,^,5,5,-11.9,6.1
TARNEIT,655000, ,646000, ,651000, ,655000, ,650000, ,383,383,-0.8,-0.8
TATURA,440000, ,510000, ,400000, ,440000, ,506000, ,14,14,15.0,15.0
TAWONGA SOUTH,720000,^,630000,^,596500,^,573000,^,602000,^,5,5,-16.4,5.1
TAYLORS HILL,889500, ,918000, ,850000, ,863800, ,948500, ,14,14,6.6,9.8
TAYLORS LAKES,945000, ,988500, ,935000, ,892500, ,982500, ,32,32,4.0,10.1
TECOMA,910000, ,815000,^,835000, ,1015000,^,860000,^,8,8,-5.5,-15.3
TEMPLESTOWE,1625000, ,1575000, ,1631500, ,1721000, ,1604000, ,38,38,-1.3,-6.8
TEMPLESTOWE LOWER,1440000, ,1395000, ,1350000, ,1310500, ,1344000, ,41,41,-6.7,2.6
TERANG,440000,^,382500, ,450000,^,385000,^,515000, ,11,11,17.0,33.8
THE BASIN,917500, ,870000, ,885000, ,882500, ,865000, ,13,13,-5.7,-2.0
THOMASTOWN,739000, ,724900, ,728800, ,702000, ,730000, ,59,59,-1.2,4.0
THOMSON (GREATER GEELONG),515000,^,557300, ,558000,^,500000, ,497000,^,9,9,-3.5,-0.6
THORNBURY,1460000, ,1417500, ,1500000, ,1305500, ,1397500, ,24,24,-4.3,7.0
THORNHILL PARK,607000, ,599300, ,580000, ,580000, ,575000, ,42,42,-5.3,-0.9
TIMBOON,534500,^,545000,^,430000,^,420000,^,447000,^,7,7,-16.4,6.4
TONGALA,415000,^,493800,^,443000,^,450000,^,450000,*,0,0,NA,NA
TOONGABBIE,625000,^,638000,^,548800,^,690000,^,430000,^,1,1,-31.2,-37.7
TOORADIN,910000,^,800000,^,915000,^,820000,^,731000,^,6,6,-19.7,-10.9
TOORAK,8222500, ,6000000, ,4080000, ,7237500, ,3425000,^,9,9,-58.3,-52.7
TOOTGAROOK,865000, ,1110000, ,790000, ,860000, ,787500, ,24,24,-9.0,-8.4
TORQUAY,1295000, ,1210000, ,1117500, ,1192500, ,1200000, ,89,89,-7.3,0.6
TRAFALGAR,580000, ,590000, ,527500, ,570000, ,541000, ,16,16,-6.7,-5.1
TRARALGON,540000, ,487000, ,504000, ,506200, ,535000, ,136,136,-0.9,5.7
TRARALGON EAST,1322500,^,850000,^,700000,^,945000,^,860000,^,5,5,-35.0,-9.0
TRENTHAM,1287500, ,782500,^,857500, ,970000,^,935000,^,5,5,-27.4,-3.6
TRUGANINA,650000, ,640500, ,646000, ,665000, ,680000, ,179,179,4.6,2.3
TULLAMARINE,700000, ,724500, ,741500, ,762500, ,750000, ,15,15,7.1,-1.6
TUNGAMAH,250000,^,170000,^,273000,^,273000,*,273000,*,0,0,NA,NA
TYABB,785000,^,845000,^,725000, ,730000, ,831000,^,5,5,5.9,13.8
UNDERBOOL,165800,^,147500,^,147500,*,68000,^,89000,^,1,1,-46.3,30.9
UPPER FERNTREE GULLY,835000,^,844200,^,797500, ,875000, ,920000,^,7,7,10.2,5.1
UPWEY,940000, ,842500, ,855100, ,822500, ,882500, ,22,22,-6.1,7.3
VENTNOR,865000,^,880000, ,830000, ,890000, ,705000,^,9,9,-18.5,-20.8
VENUS BAY,620000, ,522900, ,466000, ,497500, ,496500, ,24,24,-19.9,-0.2
VERMONT,1242000, ,1334000, ,1200000, ,1297500, ,1199000, ,23,23,-3.5,-7.6
VERMONT SOUTH,1561000, ,1480000, ,1465500, ,1450000, ,1488000, ,33,33,-4.7,2.6
VIEWBANK,1225000, ,1218000, ,1140000, ,1227500, ,1136000, ,20,20,-7.3,-7.5
VIOLET TOWN,555000,^,360000,^,540000,^,595000,^,290000,^,3,3,-47.7,-51.3
WAHGUNYAH,520000,^,519500,^,645000,^,540000,^,490000,^,4,4,-5.8,-9.3
WALLAN,605000, ,655000, ,630000, ,595000, ,640000, ,60,60,5.8,7.6
WALLAN EAST,595000, ,601000, ,657000, ,623500, ,580000, ,25,25,-2.5,-7.0
WANDANA HEIGHTS,860000,^,930000,^,876300,^,930000, ,920000,^,9,9,7.0,-1.1
WANDIN NORTH,880000,^,950000,^,847000,^,942300,^,1026000,^,7,7,16.6,8.9
WANGARATTA,547500, ,525000, ,516300, ,529000, ,525000, ,89,89,-4.1,-0.8
WANTIRNA,1084000, ,1064800, ,1085000, ,985500, ,1104000, ,28,28,1.8,12.0
WANTIRNA SOUTH,1288000, ,1260000, ,1300000, ,1205000, ,1280000, ,37,37,-0.6,6.2
WARBURTON,592500, ,608500, ,700000,^,621000, ,633300,^,8,8,6.9,2.0
WARRACKNABEAL,247000, ,180000,^,200000, ,194500, ,220000, ,15,15,-10.9,13.1
WARRAGUL,630000, ,640000, ,650000, ,626300, ,620000, ,102,102,-1.6,-1.0
WARRANDYTE,1550000,^,1465500, ,1360000, ,1215000, ,1120000, ,18,18,-27.7,-7.8
WARRANWOOD,1231800, ,1380000, ,1280000, ,1330000, ,1305000, ,17,17,5.9,-1.9
WARRNAMBOOL,565000, ,602500, ,583000, ,580000, ,600000, ,122,122,6.2,3.4
WATERWAYS,1688000,^,1573500, ,1475500,^,975000,^,1489000,^,6,6,-11.8,52.7
WATSONIA,1005000,^,900800, ,980000, ,1045000, ,880500, ,10,10,-12.4,-15.7
WATSONIA NORTH,975000,^,920800, ,897500,^,924000, ,862500,^,6,6,-11.5,-6.7
WATTLE GLEN,1232000,^,1085000,^,1050000,^,795500,^,935000,^,5,5,-24.1,17.5
WAURN PONDS,790000,^,760000, ,792900, ,760000, ,738000, ,15,15,-6.6,-2.9
WEDDERBURN,212500,^,305000,^,349000,^,215000,^,320000,^,1,1,50.6,48.8
WEIR VIEWS,575000, ,565000, ,568300, ,565000, ,561000, ,46,46,-2.4,-0.7
WENDOUREE,435000, ,440000, ,435000, ,455000, ,460000, ,58,58,5.7,1.1
WENDOUREE WEST,325000, ,362500,^,357500, ,390000, ,327500, ,14,14,0.8,-16.0
WERRIBEE,612500, ,626500, ,619900, ,605000, ,601000, ,235,235,-1.9,-0.7
WERRIBEE SOUTH,900000, ,931000,^,812500,^,850000,^,657500, ,10,10,-26.9,-22.6
WEST FOOTSCRAY,908000, ,1020000, ,925000, ,905000, ,847500, ,24,24,-6.7,-6.4
WEST MELBOURNE,1500000,^,1231000,^,1299000,^,995000,^,1117500,^,4,4,-25.5,12.3
WEST WODONGA,565000, ,549000, ,545000, ,547000, ,550000, ,57,57,-2.7,0.5
WESTALL,895500, ,887500, ,880000, ,937000, ,902000, ,11,11,0.7,-3.7
WESTGARTH,1725000, ,1862500, ,1700000,^,1670000, ,1602500,^,6,6,-7.1,-4.0
WESTMEADOWS,662500, ,765500, ,650000, ,720000, ,700000, ,12,12,5.7,-2.8
WHEELERS HILL,1528000, ,1390500, ,1397000, ,1400000, ,1478900, ,54,54,-3.2,5.6
WHITE HILLS,546000, ,485000, ,522500, ,580000, ,627500, ,18,18,14.9,8.2
WHITTINGTON,535000, ,507500, ,528300, ,522500, ,547000, ,17,17,2.2,4.7
WHITTLESEA,670000, ,742500, ,675000, ,700000, ,755000, ,18,18,12.7,7.9
WILLIAMS LANDING,801000, ,800000, ,781500, ,790000, ,850000, ,44,44,6.1,7.6
WILLIAMSTOWN,1640000, ,1600000, ,1480500, ,1645000, ,1440000, ,29,29,-12.2,-12.5
WILLIAMSTOWN NORTH,1115000,^,1410000,^,1306000,^,1291900,^,1192500,^,4,4,7.0,-7.7
WIMBLEDON HEIGHTS,599000,^,615000,^,476000,^,589000,^,594000,^,4,4,-0.8,0.8
WINCHELSEA,740000,^,740000, ,591000, ,602500, ,662500,^,4,4,-10.5,10.0
WINDSOR,1455000, ,1635000, ,1260000, ,1455500, ,1391500, ,12,12,-4.4,-4.4
WINTER VALLEY,575000, ,537000, ,555000, ,550000, ,535000, ,49,49,-7.0,-2.7
WODONGA,522500, ,523000, ,550000, ,558500, ,615000, ,108,108,17.7,10.1
WOLLERT,692500, ,685000, ,680000, ,695000, ,700000, ,189,189,1.1,0.7
WONGA PARK,1450000, ,1224000,^,1300000, ,1267500,^,1302500,^,8,8,-10.2,2.8
WONTHAGGI,580000, ,590000, ,515000, ,525000, ,590000, ,31,31,1.7,12.4
WOODEND,857500, ,937500, ,967500, ,770000, ,935000, ,23,23,9.0,21.4
WOODSTOCK,-, ,-, ,858800,^,720000,^,662500,^,7,7,0.0,-8.0
WOOLAMAI WATERS,795000, ,790000,^,676300, ,753000,^,640000, ,11,11,-19.5,-15.0
WOORI YALLOCK,635000, ,642500, ,690000, ,675000,^,715000, ,10,10,12.6,5.9
WY YUNG,518500,^,476300,^,525000,^,568000,^,515000,^,7,7,-0.7,-9.3
WYNDHAM VALE,589900, ,575500, ,590500, ,585000, ,574500, ,128,128,-2.6,-1.8
YACKANDANDAH,580000,^,747000,^,820000,^,742000,^,614000,^,3,3,5.9,-17.3
YALLAMBIE,1010000,^,1025000, ,960000, ,1145000,^,997500,^,2,2,-1.2,-12.9
YALLOURN NORTH,299000,^,273800,^,340000, ,330000,^,297500,^,8,8,-0.5,-9.8
YARRA GLEN,740000,^,870000, ,820000,^,874000,^,940000,^,9,9,27.0,7.6
YARRA JUNCTION,700000, ,715000,^,767500, ,715000,^,657500,^,8,8,-6.1,-8.0
YARRAGON,610000,^,612500,^,550000,^,620000,^,560000, ,13,13,-8.2,-9.7
YARRAM,427500, ,375000, ,400000,^,425000,^,382500,^,6,6,-10.5,-10.0
YARRAVILLE,1157800, ,1116000, ,1160000, ,1151300, ,1090000, ,50,50,-5.9,-5.3
YARRAWONGA,652500, ,652500, ,642500, ,619000, ,550000, ,45,45,-15.7,-11.1
YEA,545000, ,550000,^,575000,^,507500, ,690000,^,5,5,26.6,36.0
YINNAR,480000,^,445000,^,468500,^,575000,^,422000,^,7,7,-12.1,-26.6
"^ means there were fewer than 10 sales for the quarter* means there were no sales for the quarter and the first non-zero figure is carried forwardNA means insufficent data was available to create the percentage change ",,,,,,,,,,,,,,